date,entity,iso_code,indicator,value
2020-09-07,Algeria,DZA,Daily ICU occupancy per million,0.958
2020-09-08,Algeria,DZA,Daily ICU occupancy,35.0
2020-09-08,Algeria,DZA,Daily ICU occupancy per million,0.779
2020-09-09,Algeria,DZA,Daily ICU occupancy,40.0
2020-09-09,Algeria,DZA,Daily ICU occupancy per million,0.891
2020-09-10,Algeria,DZA,Daily ICU occupancy,39.0
2020-09-10,Algeria,DZA,Daily ICU occupancy per million,0.869
2020-09-11,Algeria,DZA,Daily ICU occupancy,32.0
2020-09-11,Algeria,DZA,Daily ICU occupancy per million,0.713
2020-09-12,Algeria,DZA,Daily ICU occupancy,36.0
2020-09-12,Algeria,DZA,Daily ICU occupancy per million,0.802
2020-09-13,Algeria,DZA,Daily ICU occupancy,29.0
2020-09-13,Algeria,DZA,Daily ICU occupancy per million,0.646
2020-09-14,Algeria,DZA,Daily ICU occupancy,27.0
2020-09-14,Algeria,DZA,Daily ICU occupancy per million,0.601
2020-09-15,Algeria,DZA,Daily ICU occupancy,31.0
2020-09-15,Algeria,DZA,Daily ICU occupancy per million,0.69
2020-09-16,Algeria,DZA,Daily ICU occupancy,31.0
2020-09-16,Algeria,DZA,Daily ICU occupancy per million,0.69
2020-09-17,Algeria,DZA,Daily ICU occupancy,32.0
2020-09-17,Algeria,DZA,Daily ICU occupancy per million,0.713
2020-09-18,Algeria,DZA,Daily ICU occupancy,27.0
2020-09-18,Algeria,DZA,Daily ICU occupancy per million,0.601
2020-09-19,Algeria,DZA,Daily ICU occupancy,32.0
2020-09-19,Algeria,DZA,Daily ICU occupancy per million,0.713
2020-09-20,Algeria,DZA,Daily ICU occupancy,31.0
2020-09-20,Algeria,DZA,Daily ICU occupancy per million,0.69
2020-09-21,Algeria,DZA,Daily ICU occupancy,29.0
2020-09-21,Algeria,DZA,Daily ICU occupancy per million,0.646
2020-09-22,Algeria,DZA,Daily ICU occupancy,34.0
2020-09-22,Algeria,DZA,Daily ICU occupancy per million,0.757
2020-09-23,Algeria,DZA,Daily ICU occupancy,25.0
2020-09-23,Algeria,DZA,Daily ICU occupancy per million,0.557
2020-09-24,Algeria,DZA,Daily ICU occupancy,27.0
2020-09-24,Algeria,DZA,Daily ICU occupancy per million,0.601
2020-09-25,Algeria,DZA,Daily ICU occupancy,25.0
2020-09-25,Algeria,DZA,Daily ICU occupancy per million,0.557
2020-09-26,Algeria,DZA,Daily ICU occupancy,25.0
2020-09-26,Algeria,DZA,Daily ICU occupancy per million,0.557
2020-09-27,Algeria,DZA,Daily ICU occupancy,22.0
2020-09-27,Algeria,DZA,Daily ICU occupancy per million,0.49
2020-09-28,Algeria,DZA,Daily ICU occupancy,25.0
2020-09-28,Algeria,DZA,Daily ICU occupancy per million,0.557
2020-09-29,Algeria,DZA,Daily ICU occupancy,23.0
2020-09-29,Algeria,DZA,Daily ICU occupancy per million,0.512
2020-09-30,Algeria,DZA,Daily ICU occupancy,23.0
2020-09-30,Algeria,DZA,Daily ICU occupancy per million,0.512
2020-10-01,Algeria,DZA,Daily ICU occupancy,23.0
2020-10-01,Algeria,DZA,Daily ICU occupancy per million,0.512
2020-10-02,Algeria,DZA,Daily ICU occupancy,23.0
2020-10-02,Algeria,DZA,Daily ICU occupancy per million,0.512
2020-10-03,Algeria,DZA,Daily ICU occupancy,25.0
2020-10-03,Algeria,DZA,Daily ICU occupancy per million,0.557
2020-10-04,Algeria,DZA,Daily ICU occupancy,21.0
2020-10-04,Algeria,DZA,Daily ICU occupancy per million,0.468
2020-10-05,Algeria,DZA,Daily ICU occupancy,22.0
2020-10-05,Algeria,DZA,Daily ICU occupancy per million,0.49
2020-10-07,Algeria,DZA,Daily ICU occupancy,31.0
2020-10-07,Algeria,DZA,Daily ICU occupancy per million,0.69
2020-10-08,Algeria,DZA,Daily ICU occupancy,30.0
2020-10-08,Algeria,DZA,Daily ICU occupancy per million,0.668
2020-10-09,Algeria,DZA,Daily ICU occupancy,31.0
2020-10-09,Algeria,DZA,Daily ICU occupancy per million,0.69
2020-10-10,Algeria,DZA,Daily ICU occupancy,31.0
2020-10-10,Algeria,DZA,Daily ICU occupancy per million,0.69
2020-10-11,Algeria,DZA,Daily ICU occupancy,28.0
2020-10-11,Algeria,DZA,Daily ICU occupancy per million,0.624
2020-10-12,Algeria,DZA,Daily ICU occupancy,35.0
2020-10-12,Algeria,DZA,Daily ICU occupancy per million,0.779
2020-10-13,Algeria,DZA,Daily ICU occupancy,38.0
2020-10-13,Algeria,DZA,Daily ICU occupancy per million,0.846
2020-10-14,Algeria,DZA,Daily ICU occupancy,35.0
2020-10-14,Algeria,DZA,Daily ICU occupancy per million,0.779
2020-10-15,Algeria,DZA,Daily ICU occupancy,35.0
2020-10-15,Algeria,DZA,Daily ICU occupancy per million,0.779
2020-10-17,Algeria,DZA,Daily ICU occupancy,36.0
2020-10-17,Algeria,DZA,Daily ICU occupancy per million,0.802
2020-10-18,Algeria,DZA,Daily ICU occupancy,33.0
2020-10-18,Algeria,DZA,Daily ICU occupancy per million,0.735
2020-10-19,Algeria,DZA,Daily ICU occupancy,39.0
2020-10-19,Algeria,DZA,Daily ICU occupancy per million,0.869
2020-10-20,Algeria,DZA,Daily ICU occupancy,38.0
2020-10-20,Algeria,DZA,Daily ICU occupancy per million,0.846
2020-10-21,Algeria,DZA,Daily ICU occupancy,37.0
2020-10-21,Algeria,DZA,Daily ICU occupancy per million,0.824
2020-10-22,Algeria,DZA,Daily ICU occupancy,31.0
2020-10-22,Algeria,DZA,Daily ICU occupancy per million,0.69
2020-10-23,Algeria,DZA,Daily ICU occupancy,33.0
2020-10-23,Algeria,DZA,Daily ICU occupancy per million,0.735
2020-10-24,Algeria,DZA,Daily ICU occupancy,29.0
2020-10-24,Algeria,DZA,Daily ICU occupancy per million,0.646
2020-10-25,Algeria,DZA,Daily ICU occupancy,29.0
2020-10-25,Algeria,DZA,Daily ICU occupancy per million,0.646
2020-10-26,Algeria,DZA,Daily ICU occupancy,30.0
2020-10-26,Algeria,DZA,Daily ICU occupancy per million,0.668
2020-10-28,Algeria,DZA,Daily ICU occupancy,40.0
2020-10-28,Algeria,DZA,Daily ICU occupancy per million,0.891
2020-10-29,Algeria,DZA,Daily ICU occupancy,39.0
2020-10-29,Algeria,DZA,Daily ICU occupancy per million,0.869
2020-10-30,Algeria,DZA,Daily ICU occupancy,48.0
2020-10-30,Algeria,DZA,Daily ICU occupancy per million,1.069
2020-10-31,Algeria,DZA,Daily ICU occupancy,44.0
2020-10-31,Algeria,DZA,Daily ICU occupancy per million,0.98
2020-11-01,Algeria,DZA,Daily ICU occupancy,49.0
2020-11-01,Algeria,DZA,Daily ICU occupancy per million,1.091
2020-11-02,Algeria,DZA,Daily ICU occupancy,46.0
2020-11-02,Algeria,DZA,Daily ICU occupancy per million,1.024
2020-11-04,Algeria,DZA,Daily ICU occupancy,50.0
2020-11-04,Algeria,DZA,Daily ICU occupancy per million,1.114
2020-11-05,Algeria,DZA,Daily ICU occupancy,53.0
2020-11-05,Algeria,DZA,Daily ICU occupancy per million,1.18
2020-11-07,Algeria,DZA,Daily ICU occupancy,59.0
2020-11-07,Algeria,DZA,Daily ICU occupancy per million,1.314
2020-11-08,Algeria,DZA,Daily ICU occupancy,63.0
2020-11-08,Algeria,DZA,Daily ICU occupancy per million,1.403
2020-11-09,Algeria,DZA,Daily ICU occupancy,60.0
2020-11-09,Algeria,DZA,Daily ICU occupancy per million,1.336
2020-11-11,Algeria,DZA,Daily ICU occupancy,49.0
2020-11-11,Algeria,DZA,Daily ICU occupancy per million,1.091
2020-11-12,Algeria,DZA,Daily ICU occupancy,53.0
2020-11-12,Algeria,DZA,Daily ICU occupancy per million,1.18
2020-11-13,Algeria,DZA,Daily ICU occupancy,52.0
2020-11-13,Algeria,DZA,Daily ICU occupancy per million,1.158
2020-11-14,Algeria,DZA,Daily ICU occupancy,42.0
2020-11-14,Algeria,DZA,Daily ICU occupancy per million,0.935
2020-11-15,Algeria,DZA,Daily ICU occupancy,44.0
2020-11-15,Algeria,DZA,Daily ICU occupancy per million,0.98
2020-11-16,Algeria,DZA,Daily ICU occupancy,50.0
2020-11-16,Algeria,DZA,Daily ICU occupancy per million,1.114
2020-11-17,Algeria,DZA,Daily ICU occupancy,39.0
2020-11-17,Algeria,DZA,Daily ICU occupancy per million,0.869
2020-11-18,Algeria,DZA,Daily ICU occupancy,43.0
2020-11-18,Algeria,DZA,Daily ICU occupancy per million,0.958
2020-11-19,Algeria,DZA,Daily ICU occupancy,53.0
2020-11-19,Algeria,DZA,Daily ICU occupancy per million,1.18
2020-11-20,Algeria,DZA,Daily ICU occupancy,49.0
2020-11-20,Algeria,DZA,Daily ICU occupancy per million,1.091
2020-11-21,Algeria,DZA,Daily ICU occupancy,52.0
2020-11-21,Algeria,DZA,Daily ICU occupancy per million,1.158
2020-11-22,Algeria,DZA,Daily ICU occupancy,46.0
2020-11-22,Algeria,DZA,Daily ICU occupancy per million,1.024
2020-11-23,Algeria,DZA,Daily ICU occupancy,46.0
2020-11-23,Algeria,DZA,Daily ICU occupancy per million,1.024
2020-11-26,Algeria,DZA,Daily ICU occupancy,44.0
2020-11-26,Algeria,DZA,Daily ICU occupancy per million,0.98
2020-11-27,Algeria,DZA,Daily ICU occupancy,50.0
2020-11-27,Algeria,DZA,Daily ICU occupancy per million,1.114
2020-11-28,Algeria,DZA,Daily ICU occupancy,51.0
2020-11-28,Algeria,DZA,Daily ICU occupancy per million,1.136
2020-11-30,Algeria,DZA,Daily ICU occupancy,46.0
2020-11-30,Algeria,DZA,Daily ICU occupancy per million,1.024
2020-12-01,Algeria,DZA,Daily ICU occupancy,46.0
2020-12-01,Algeria,DZA,Daily ICU occupancy per million,1.024
2020-12-03,Algeria,DZA,Daily ICU occupancy,45.0
2020-12-03,Algeria,DZA,Daily ICU occupancy per million,1.002
2020-12-07,Algeria,DZA,Daily ICU occupancy,38.0
2020-12-07,Algeria,DZA,Daily ICU occupancy per million,0.846
2020-12-08,Algeria,DZA,Daily ICU occupancy,44.0
2020-12-08,Algeria,DZA,Daily ICU occupancy per million,0.98
2020-12-09,Algeria,DZA,Daily ICU occupancy,42.0
2020-12-09,Algeria,DZA,Daily ICU occupancy per million,0.935
2020-12-10,Algeria,DZA,Daily ICU occupancy,44.0
2020-12-10,Algeria,DZA,Daily ICU occupancy per million,0.98
2020-12-11,Algeria,DZA,Daily ICU occupancy,46.0
2020-12-11,Algeria,DZA,Daily ICU occupancy per million,1.024
2020-12-12,Algeria,DZA,Daily ICU occupancy,42.0
2020-12-12,Algeria,DZA,Daily ICU occupancy per million,0.935
2020-12-13,Algeria,DZA,Daily ICU occupancy,46.0
2020-12-13,Algeria,DZA,Daily ICU occupancy per million,1.024
2020-12-15,Algeria,DZA,Daily ICU occupancy,46.0
2020-12-15,Algeria,DZA,Daily ICU occupancy per million,1.024
2020-12-16,Algeria,DZA,Daily ICU occupancy,44.0
2020-12-16,Algeria,DZA,Daily ICU occupancy per million,0.98
2020-12-17,Algeria,DZA,Daily ICU occupancy,45.0
2020-12-17,Algeria,DZA,Daily ICU occupancy per million,1.002
2020-12-20,Algeria,DZA,Daily ICU occupancy,50.0
2020-12-20,Algeria,DZA,Daily ICU occupancy per million,1.114
2020-12-21,Algeria,DZA,Daily ICU occupancy,43.0
2020-12-21,Algeria,DZA,Daily ICU occupancy per million,0.958
2020-12-22,Algeria,DZA,Daily ICU occupancy,49.0
2020-12-22,Algeria,DZA,Daily ICU occupancy per million,1.091
2020-12-23,Algeria,DZA,Daily ICU occupancy,49.0
2020-12-23,Algeria,DZA,Daily ICU occupancy per million,1.091
2020-12-24,Algeria,DZA,Daily ICU occupancy,46.0
2020-12-24,Algeria,DZA,Daily ICU occupancy per million,1.024
2020-12-29,Algeria,DZA,Daily ICU occupancy,40.0
2020-12-29,Algeria,DZA,Daily ICU occupancy per million,0.891
2020-12-30,Algeria,DZA,Daily ICU occupancy,43.0
2020-12-30,Algeria,DZA,Daily ICU occupancy per million,0.958
2021-01-01,Algeria,DZA,Daily ICU occupancy,42.0
2021-01-01,Algeria,DZA,Daily ICU occupancy per million,0.935
2021-01-02,Algeria,DZA,Daily ICU occupancy,31.0
2021-01-02,Algeria,DZA,Daily ICU occupancy per million,0.69
2021-01-03,Algeria,DZA,Daily ICU occupancy,36.0
2021-01-03,Algeria,DZA,Daily ICU occupancy per million,0.802
2021-01-04,Algeria,DZA,Daily ICU occupancy,27.0
2021-01-04,Algeria,DZA,Daily ICU occupancy per million,0.601
2021-01-05,Algeria,DZA,Daily ICU occupancy,29.0
2021-01-05,Algeria,DZA,Daily ICU occupancy per million,0.646
2021-01-06,Algeria,DZA,Daily ICU occupancy,32.0
2021-01-06,Algeria,DZA,Daily ICU occupancy per million,0.713
2021-01-07,Algeria,DZA,Daily ICU occupancy,27.0
2021-01-07,Algeria,DZA,Daily ICU occupancy per million,0.601
2021-01-08,Algeria,DZA,Daily ICU occupancy,34.0
2021-01-08,Algeria,DZA,Daily ICU occupancy per million,0.757
2021-01-09,Algeria,DZA,Daily ICU occupancy,33.0
2021-01-09,Algeria,DZA,Daily ICU occupancy per million,0.735
2021-01-10,Algeria,DZA,Daily ICU occupancy,29.0
2021-01-10,Algeria,DZA,Daily ICU occupancy per million,0.646
2021-01-11,Algeria,DZA,Daily ICU occupancy,28.0
2021-01-11,Algeria,DZA,Daily ICU occupancy per million,0.624
2021-01-12,Algeria,DZA,Daily ICU occupancy,24.0
2021-01-12,Algeria,DZA,Daily ICU occupancy per million,0.534
2021-01-15,Algeria,DZA,Daily ICU occupancy,28.0
2021-01-15,Algeria,DZA,Daily ICU occupancy per million,0.624
2021-01-16,Algeria,DZA,Daily ICU occupancy,23.0
2021-01-16,Algeria,DZA,Daily ICU occupancy per million,0.512
2021-01-17,Algeria,DZA,Daily ICU occupancy,32.0
2021-01-17,Algeria,DZA,Daily ICU occupancy per million,0.713
2021-01-18,Algeria,DZA,Daily ICU occupancy,28.0
2021-01-18,Algeria,DZA,Daily ICU occupancy per million,0.624
2021-01-19,Algeria,DZA,Daily ICU occupancy,29.0
2021-01-19,Algeria,DZA,Daily ICU occupancy per million,0.646
2021-01-20,Algeria,DZA,Daily ICU occupancy,32.0
2021-01-20,Algeria,DZA,Daily ICU occupancy per million,0.713
2021-01-21,Algeria,DZA,Daily ICU occupancy,31.0
2021-01-21,Algeria,DZA,Daily ICU occupancy per million,0.69
2021-01-22,Algeria,DZA,Daily ICU occupancy,36.0
2021-01-22,Algeria,DZA,Daily ICU occupancy per million,0.802
2021-01-23,Algeria,DZA,Daily ICU occupancy,29.0
2021-01-23,Algeria,DZA,Daily ICU occupancy per million,0.646
2021-01-24,Algeria,DZA,Daily ICU occupancy,34.0
2021-01-24,Algeria,DZA,Daily ICU occupancy per million,0.757
2021-01-25,Algeria,DZA,Daily ICU occupancy,34.0
2021-01-25,Algeria,DZA,Daily ICU occupancy per million,0.757
2021-01-26,Algeria,DZA,Daily ICU occupancy,34.0
2021-01-26,Algeria,DZA,Daily ICU occupancy per million,0.757
2021-01-27,Algeria,DZA,Daily ICU occupancy,39.0
2021-01-27,Algeria,DZA,Daily ICU occupancy per million,0.869
2021-01-30,Algeria,DZA,Daily ICU occupancy,33.0
2021-01-30,Algeria,DZA,Daily ICU occupancy per million,0.735
2021-02-01,Algeria,DZA,Daily ICU occupancy,29.0
2021-02-01,Algeria,DZA,Daily ICU occupancy per million,0.646
2021-02-02,Algeria,DZA,Daily ICU occupancy,23.0
2021-02-02,Algeria,DZA,Daily ICU occupancy per million,0.512
2021-02-05,Algeria,DZA,Daily ICU occupancy,21.0
2021-02-05,Algeria,DZA,Daily ICU occupancy per million,0.468
2021-02-08,Algeria,DZA,Daily ICU occupancy,25.0
2021-02-08,Algeria,DZA,Daily ICU occupancy per million,0.557
2021-02-10,Algeria,DZA,Daily ICU occupancy,25.0
2021-02-10,Algeria,DZA,Daily ICU occupancy per million,0.557
2021-02-12,Algeria,DZA,Daily ICU occupancy,22.0
2021-02-12,Algeria,DZA,Daily ICU occupancy per million,0.49
2021-02-13,Algeria,DZA,Daily ICU occupancy,20.0
2021-02-13,Algeria,DZA,Daily ICU occupancy per million,0.445
2021-02-14,Algeria,DZA,Daily ICU occupancy,19.0
2021-02-14,Algeria,DZA,Daily ICU occupancy per million,0.423
2021-02-19,Algeria,DZA,Daily ICU occupancy,18.0
2021-02-19,Algeria,DZA,Daily ICU occupancy per million,0.401
2021-02-20,Algeria,DZA,Daily ICU occupancy,16.0
2021-02-20,Algeria,DZA,Daily ICU occupancy per million,0.356
2021-02-21,Algeria,DZA,Daily ICU occupancy,15.0
2021-02-21,Algeria,DZA,Daily ICU occupancy per million,0.334
2021-02-23,Algeria,DZA,Daily ICU occupancy,19.0
2021-02-23,Algeria,DZA,Daily ICU occupancy per million,0.423
2021-02-25,Algeria,DZA,Daily ICU occupancy,18.0
2021-02-25,Algeria,DZA,Daily ICU occupancy per million,0.401
2021-02-26,Algeria,DZA,Daily ICU occupancy,21.0
2021-02-26,Algeria,DZA,Daily ICU occupancy per million,0.468
2021-02-27,Algeria,DZA,Daily ICU occupancy,21.0
2021-02-27,Algeria,DZA,Daily ICU occupancy per million,0.468
2021-02-28,Algeria,DZA,Daily ICU occupancy,22.0
2021-02-28,Algeria,DZA,Daily ICU occupancy per million,0.49
2021-03-01,Algeria,DZA,Daily ICU occupancy,22.0
2021-03-01,Algeria,DZA,Daily ICU occupancy per million,0.49
2021-03-02,Algeria,DZA,Daily ICU occupancy,23.0
2021-03-02,Algeria,DZA,Daily ICU occupancy per million,0.512
2021-03-07,Algeria,DZA,Daily ICU occupancy,21.0
2021-03-07,Algeria,DZA,Daily ICU occupancy per million,0.468
2021-03-10,Algeria,DZA,Daily ICU occupancy,19.0
2021-03-10,Algeria,DZA,Daily ICU occupancy per million,0.423
2021-03-12,Algeria,DZA,Daily ICU occupancy,15.0
2021-03-12,Algeria,DZA,Daily ICU occupancy per million,0.334
2021-03-22,Algeria,DZA,Daily ICU occupancy,7.0
2021-03-22,Algeria,DZA,Daily ICU occupancy per million,0.156
2021-03-23,Algeria,DZA,Daily ICU occupancy,9.0
2021-03-23,Algeria,DZA,Daily ICU occupancy per million,0.2
2021-03-24,Algeria,DZA,Daily ICU occupancy,9.0
2021-03-24,Algeria,DZA,Daily ICU occupancy per million,0.2
2021-03-25,Algeria,DZA,Daily ICU occupancy,17.0
2021-03-25,Algeria,DZA,Daily ICU occupancy per million,0.379
2021-03-26,Algeria,DZA,Daily ICU occupancy,18.0
2021-03-26,Algeria,DZA,Daily ICU occupancy per million,0.401
2021-03-27,Algeria,DZA,Daily ICU occupancy,20.0
2021-03-27,Algeria,DZA,Daily ICU occupancy per million,0.445
2021-03-28,Algeria,DZA,Daily ICU occupancy,19.0
2021-03-28,Algeria,DZA,Daily ICU occupancy per million,0.423
2021-03-29,Algeria,DZA,Daily ICU occupancy,20.0
2021-03-29,Algeria,DZA,Daily ICU occupancy per million,0.445
2021-03-30,Algeria,DZA,Daily ICU occupancy,15.0
2021-03-30,Algeria,DZA,Daily ICU occupancy per million,0.334
2021-03-31,Algeria,DZA,Daily ICU occupancy,15.0
2021-03-31,Algeria,DZA,Daily ICU occupancy per million,0.334
2021-04-01,Algeria,DZA,Daily ICU occupancy,14.0
2021-04-01,Algeria,DZA,Daily ICU occupancy per million,0.312
2021-04-02,Algeria,DZA,Daily ICU occupancy,16.0
2021-04-02,Algeria,DZA,Daily ICU occupancy per million,0.356
2021-04-03,Algeria,DZA,Daily ICU occupancy,20.0
2021-04-03,Algeria,DZA,Daily ICU occupancy per million,0.445
2021-04-04,Algeria,DZA,Daily ICU occupancy,20.0
2021-04-04,Algeria,DZA,Daily ICU occupancy per million,0.445
2021-04-05,Algeria,DZA,Daily ICU occupancy,16.0
2021-04-05,Algeria,DZA,Daily ICU occupancy per million,0.356
2021-04-06,Algeria,DZA,Daily ICU occupancy,19.0
2021-04-06,Algeria,DZA,Daily ICU occupancy per million,0.423
2021-04-07,Algeria,DZA,Daily ICU occupancy,20.0
2021-04-07,Algeria,DZA,Daily ICU occupancy per million,0.445
2021-04-08,Algeria,DZA,Daily ICU occupancy,20.0
2021-04-08,Algeria,DZA,Daily ICU occupancy per million,0.445
2021-04-09,Algeria,DZA,Daily ICU occupancy,19.0
2021-04-09,Algeria,DZA,Daily ICU occupancy per million,0.423
2021-04-10,Algeria,DZA,Daily ICU occupancy,19.0
2021-04-10,Algeria,DZA,Daily ICU occupancy per million,0.423
2021-04-11,Algeria,DZA,Daily ICU occupancy,19.0
2021-04-11,Algeria,DZA,Daily ICU occupancy per million,0.423
2021-04-12,Algeria,DZA,Daily ICU occupancy,14.0
2021-04-12,Algeria,DZA,Daily ICU occupancy per million,0.312
2021-04-13,Algeria,DZA,Daily ICU occupancy,19.0
2021-04-13,Algeria,DZA,Daily ICU occupancy per million,0.423
2021-04-14,Algeria,DZA,Daily ICU occupancy,17.0
2021-04-14,Algeria,DZA,Daily ICU occupancy per million,0.379
2021-04-15,Algeria,DZA,Daily ICU occupancy,16.0
2021-04-15,Algeria,DZA,Daily ICU occupancy per million,0.356
2021-04-16,Algeria,DZA,Daily ICU occupancy,12.0
2021-04-16,Algeria,DZA,Daily ICU occupancy per million,0.267
2021-04-17,Algeria,DZA,Daily ICU occupancy,15.0
2021-04-17,Algeria,DZA,Daily ICU occupancy per million,0.334
2021-04-18,Algeria,DZA,Daily ICU occupancy,21.0
2021-04-18,Algeria,DZA,Daily ICU occupancy per million,0.468
2021-04-19,Algeria,DZA,Daily ICU occupancy,22.0
2021-04-19,Algeria,DZA,Daily ICU occupancy per million,0.49
2021-04-20,Algeria,DZA,Daily ICU occupancy,19.0
2021-04-20,Algeria,DZA,Daily ICU occupancy per million,0.423
2021-04-21,Algeria,DZA,Daily ICU occupancy,21.0
2021-04-21,Algeria,DZA,Daily ICU occupancy per million,0.468
2021-04-22,Algeria,DZA,Daily ICU occupancy,23.0
2021-04-22,Algeria,DZA,Daily ICU occupancy per million,0.512
2021-04-23,Algeria,DZA,Daily ICU occupancy,22.0
2021-04-23,Algeria,DZA,Daily ICU occupancy per million,0.49
