date,entity,iso_code,indicator,value
2020-07-17,Algeria,DZA,Daily ICU occupancy,62.0
2020-07-17,Algeria,DZA,Daily ICU occupancy per million,1.381
2020-07-18,Algeria,DZA,Daily ICU occupancy,67.0
2020-07-18,Algeria,DZA,Daily ICU occupancy per million,1.492
2020-07-20,Algeria,DZA,Daily ICU occupancy,64.0
2020-07-20,Algeria,DZA,Daily ICU occupancy per million,1.425
2020-07-21,Algeria,DZA,Daily ICU occupancy,56.0
2020-07-21,Algeria,DZA,Daily ICU occupancy per million,1.247
2020-07-22,Algeria,DZA,Daily ICU occupancy,51.0
2020-07-22,Algeria,DZA,Daily ICU occupancy per million,1.136
2020-07-23,Algeria,DZA,Daily ICU occupancy,66.0
2020-07-23,Algeria,DZA,Daily ICU occupancy per million,1.47
2020-07-25,Algeria,DZA,Daily ICU occupancy,63.0
2020-07-25,Algeria,DZA,Daily ICU occupancy per million,1.403
2020-07-26,Algeria,DZA,Daily ICU occupancy,64.0
2020-07-26,Algeria,DZA,Daily ICU occupancy per million,1.425
2020-07-27,Algeria,DZA,Daily ICU occupancy,58.0
2020-07-27,Algeria,DZA,Daily ICU occupancy per million,1.292
2020-07-31,Algeria,DZA,Daily ICU occupancy,65.0
2020-07-31,Algeria,DZA,Daily ICU occupancy per million,1.448
2020-08-01,Algeria,DZA,Daily ICU occupancy,64.0
2020-08-01,Algeria,DZA,Daily ICU occupancy per million,1.425
2020-08-02,Algeria,DZA,Daily ICU occupancy,54.0
2020-08-02,Algeria,DZA,Daily ICU occupancy per million,1.203
2020-08-04,Algeria,DZA,Daily ICU occupancy,54.0
2020-08-04,Algeria,DZA,Daily ICU occupancy per million,1.203
2020-08-05,Algeria,DZA,Daily ICU occupancy,55.0
2020-08-05,Algeria,DZA,Daily ICU occupancy per million,1.225
2020-08-06,Algeria,DZA,Daily ICU occupancy,63.0
2020-08-06,Algeria,DZA,Daily ICU occupancy per million,1.403
2020-08-09,Algeria,DZA,Daily ICU occupancy,57.0
2020-08-09,Algeria,DZA,Daily ICU occupancy per million,1.269
2020-08-10,Algeria,DZA,Daily ICU occupancy,47.0
2020-08-10,Algeria,DZA,Daily ICU occupancy per million,1.047
2020-08-12,Algeria,DZA,Daily ICU occupancy,53.0
2020-08-12,Algeria,DZA,Daily ICU occupancy per million,1.18
2020-08-13,Algeria,DZA,Daily ICU occupancy,44.0
2020-08-13,Algeria,DZA,Daily ICU occupancy per million,0.98
2020-08-14,Algeria,DZA,Daily ICU occupancy,46.0
2020-08-14,Algeria,DZA,Daily ICU occupancy per million,1.024
2020-08-15,Algeria,DZA,Daily ICU occupancy,37.0
2020-08-15,Algeria,DZA,Daily ICU occupancy per million,0.824
2020-08-16,Algeria,DZA,Daily ICU occupancy,40.0
2020-08-16,Algeria,DZA,Daily ICU occupancy per million,0.891
2020-08-17,Algeria,DZA,Daily ICU occupancy,40.0
2020-08-17,Algeria,DZA,Daily ICU occupancy per million,0.891
2020-08-18,Algeria,DZA,Daily ICU occupancy,46.0
2020-08-18,Algeria,DZA,Daily ICU occupancy per million,1.024
2020-08-19,Algeria,DZA,Daily ICU occupancy,44.0
2020-08-19,Algeria,DZA,Daily ICU occupancy per million,0.98
2020-08-20,Algeria,DZA,Daily ICU occupancy,41.0
2020-08-20,Algeria,DZA,Daily ICU occupancy per million,0.913
2020-08-21,Algeria,DZA,Daily ICU occupancy,41.0
2020-08-21,Algeria,DZA,Daily ICU occupancy per million,0.913
2020-08-22,Algeria,DZA,Daily ICU occupancy,49.0
2020-08-22,Algeria,DZA,Daily ICU occupancy per million,1.091
2020-08-23,Algeria,DZA,Daily ICU occupancy,41.0
2020-08-23,Algeria,DZA,Daily ICU occupancy per million,0.913
2020-08-24,Algeria,DZA,Daily ICU occupancy,37.0
2020-08-24,Algeria,DZA,Daily ICU occupancy per million,0.824
2020-08-25,Algeria,DZA,Daily ICU occupancy,31.0
2020-08-25,Algeria,DZA,Daily ICU occupancy per million,0.69
2020-08-26,Algeria,DZA,Daily ICU occupancy,28.0
2020-08-26,Algeria,DZA,Daily ICU occupancy per million,0.624
2020-08-27,Algeria,DZA,Daily ICU occupancy,28.0
2020-08-27,Algeria,DZA,Daily ICU occupancy per million,0.624
2020-08-28,Algeria,DZA,Daily ICU occupancy,31.0
2020-08-28,Algeria,DZA,Daily ICU occupancy per million,0.69
2020-08-29,Algeria,DZA,Daily ICU occupancy,28.0
2020-08-29,Algeria,DZA,Daily ICU occupancy per million,0.624
2020-08-30,Algeria,DZA,Daily ICU occupancy,29.0
2020-08-30,Algeria,DZA,Daily ICU occupancy per million,0.646
2020-08-31,Algeria,DZA,Daily ICU occupancy,29.0
2020-08-31,Algeria,DZA,Daily ICU occupancy per million,0.646
2020-09-01,Algeria,DZA,Daily ICU occupancy,38.0
2020-09-01,Algeria,DZA,Daily ICU occupancy per million,0.846
2020-09-02,Algeria,DZA,Daily ICU occupancy,35.0
2020-09-02,Algeria,DZA,Daily ICU occupancy per million,0.779
2020-09-03,Algeria,DZA,Daily ICU occupancy,44.0
2020-09-03,Algeria,DZA,Daily ICU occupancy per million,0.98
2020-09-04,Algeria,DZA,Daily ICU occupancy,42.0
2020-09-04,Algeria,DZA,Daily ICU occupancy per million,0.935
2020-09-05,Algeria,DZA,Daily ICU occupancy,42.0
2020-09-05,Algeria,DZA,Daily ICU occupancy per million,0.935
2020-09-06,Algeria,DZA,Daily ICU occupancy,44.0
2020-09-06,Algeria,DZA,Daily ICU occupancy per million,0.98
2020-09-07,Algeria,DZA,Daily ICU occupancy,43.0
